,token,frequency
334,society,1888
335,discussion,1880
336,project,1877
337,author,1874
338,comfort,1867
339,commend,1865
340,affect,1862
341,suspect,1853
342,previous,1845
343,eight,1837
344,opinion,1836
345,sport,1832
346,difficult,1826
347,spend,1826
348,space,1816
349,medic,1813
350,entire,1809
351,candidate,1804
352,given,1803
353,abort,1795
354,known,1791
355,graph,1777
356,moment,1776
357,employee,1773
358,message,1766
359,example,1766
360,polis,1755
361,attention,1748
362,either,1746
364,small,1739
363,field,1739
365,standard,1731
366,rather,1731
367,particular,1729
368,cement,1725
369,behind,1723
370,prison,1722
371,announce,1721
372,along,1709
373,semester,1709
374,document,1702
375,control,1696
376,sense,1695
377,advocate,1686
378,business,1677
379,prevention,1677
380,however,1675
381,manage,1675
382,impact,1673
383,actor,1669
384,dance,1668
385,wrong,1667
387,minute,1664
386,heard,1664
388,nothing,1663
389,eater,1648
390,common,1646
391,almost,1646
392,short,1641
393,scene,1632
394,audience,1627
396,local,1611
395,avail,1611
397,whole,1596
398,deter,1592
399,third,1591
400,domestic,1587
401,scribe,1586
402,contact,1585
403,knowledge,1581
404,mount,1577
406,multi,1576
405,athletic,1576
407,video,1572
408,threat,1568
409,instead,1565
410,limit,1563
411,session,1561
412,practice,1547
413,equal,1545
414,trial,1544
415,improve,1540
416,prior,1536
417,cannot,1528
418,heart,1523
419,anyone,1520
420,origin,1511
421,mother,1511
422,column,1508
423,simply,1506
424,suggest,1502
425,connect,1495
426,aching,1491
427,design,1486
428,piece,1484
429,value,1482
430,psych,1476
431,roach,1471
432,degree,1470
433,drive,1469
434,explain,1464
435,chair,1463
436,partner,1459
437,phone,1457
438,emotion,1449
439,summer,1446
440,today,1442
441,danger,1441
442,junior,1435
443,counsel,1432
444,murder,1430
445,describe,1427
446,science,1417
447,freshman,1410
448,apart,1407
449,collect,1405
450,approach,1402
451,everything,1402
452,verse,1397
453,opera,1397
454,throughout,1396
455,tribute,1389
456,representative,1383
457,detail,1383
458,petit,1376
459,visit,1371
460,occurred,1368
461,engage,1364
462,option,1362
463,panel,1357
464,quart,1353
465,challenge,1352
466,budge,1350
467,alone,1347
468,speech,1342
469,series,1342
470,logic,1341
471,guilt,1340
472,budget,1339
473,brought,1335
474,athlete,1331
475,propose,1331
476,topic,1331
477,chapter,1319
478,nature,1303
479,demand,1302
480,amount,1302
481,performance,1298
482,editor,1295
483,responsible,1288
484,minor,1286
485,answer,1285
486,attorney,1283
487,spring,1282
488,super,1266
489,original,1265
490,appropriate,1263
491,quick,1262
492,sound,1259
493,merge,1259
494,proper,1256
495,confide,1252
496,listen,1251
497,quality,1251
498,surround,1248
499,appoint,1248
500,proposal,1248
501,chance,1246
502,single,1243
503,implement,1238
504,depend,1236
505,title,1231
506,positive,1224
507,mediate,1223
508,aster,1222
509,language,1218
510,track,1215
511,sophomore,1209
512,punish,1208
513,worth,1207
514,touch,1206
515,career,1204
516,stress,1202
517,assistant,1199
518,committed,1196
519,consist,1195
520,journal,1190
521,choice,1187
522,moral,1187
523,convict,1181
524,became,1180
525,usual,1178
526,sentence,1178
527,handle,1177
528,progress,1174
529,paper,1170
530,publish,1169
531,trauma,1166
532,broad,1166
533,significant,1166
534,debate,1163
535,cultural,1162
536,violent,1156
537,sometime,1148
538,necessary,1144
539,immediate,1142
540,psycho,1140
541,profession,1138
542,lying,1137
543,benefit,1130
545,subject,1128
544,reflect,1128
546,approve,1127
547,version,1125
548,witness,1118
549,alter,1115
550,procedure,1108
551,guide,1106
552,establish,1106
553,album,1105
554,financial,1104
555,photo,1095
556,judge,1093
557,measure,1093
558,emerge,1092
559,despite,1092
560,defend,1086
561,seven,1085
562,entity,1084
563,perfect,1084
564,pretty,1079
565,weekend,1076
566,presentation,1076
567,feature,1074
568,associate,1068
569,determine,1067
570,figure,1060
571,stage,1056
572,street,1055
573,choose,1055
574,confer,1050
575,total,1050
576,guilty,1047
579,prose,1045
577,multiple,1045
578,suffer,1045
580,beyond,1043
581,check,1036
582,mention,1036
583,patient,1035
584,struggle,1035
585,spread,1029
586,conference,1029
588,demon,1026
587,civil,1026
589,offend,1025
590,appeal,1016
591,tradition,1016
592,whose,1014
593,notice,1006
594,avoid,1006
595,executive,1005
596,extreme,1005
597,image,1003
598,water,1002
599,argue,1001
600,lance,1000
601,script,999
602,intent,999
603,father,996
604,petition,995
605,gator,993
606,period,992
607,couple,991
608,fortunate,990
609,expand,985
610,update,982
611,trust,981
612,wonder,975
613,economic,975
614,finite,974
615,produce,974
616,identity,973
617,exact,973
618,basket,960
619,initial,958
621,crowd,956
620,spent,956
622,eaten,950
623,private,948
624,popular,938
625,object,938
626,deserve,936
627,broke,928
628,successful,928
629,admit,926
630,screen,919
631,racial,918
632,commendation,916
633,style,915
634,welcome,912
635,beginning,911
636,factor,907
637,market,907
638,finish,905
639,climate,904
640,content,904
642,annual,903
641,block,903
643,company,900
645,solve,898
644,basketball,898
646,correct,897
647,written,894
648,alert,893
649,orient,889
650,normal,888
651,definite,887
652,shirt,884
654,various,883
653,hospital,883
655,target,882
656,decade,879
657,adult,878
658,section,878
659,doctor,878
660,definition,877
661,passion,876
662,define,874
664,fellow,873
663,episode,873
665,laugh,870
666,promote,869
667,industry,867
668,ultimate,864
669,error,864
670,educate,863
671,residential,856
672,antic,855
673,greed,852
674,store,851
675,native,847
676,match,846
677,participate,840
678,shift,840
679,senate,836
680,mater,835
681,purpose,835
682,shock,835
683,condition,833
684,confident,832
685,citizen,831
686,quite,830
687,separate,829
688,broth,828
689,argument,828
690,dangerous,825
692,influence,824
693,throw,824
691,maintain,824
694,maybe,823
695,stain,822
696,military,822
697,picture,821
698,truly,819
699,cloth,818
700,meant,817
701,confirm,817
703,select,815
704,combat,815
702,promise,815
705,identify,812
706,basic,811
707,contract,811
708,contribute,811
709,simple,810
710,recruit,809
711,investigate,807
712,seeing,807
714,feminist,806
713,tally,806
715,stake,804
716,sponsor,801
717,gather,799
718,schedule,798
719,volunteer,796
720,truth,791
721,platform,785
722,pressure,781
723,carry,780
724,traffic,778
726,camera,776
725,doubt,776
727,suppose,774
728,extra,773
729,obvious,773
730,surprise,772
731,floor,771
732,status,768
733,intend,767
734,heater,767
735,perspective,766
736,acknowledge,765
737,average,761
738,afford,760
739,brother,759
740,aspect,759
741,lawyer,757
742,score,756
743,perhaps,753
744,blood,752
745,introduce,751
746,toxic,750
747,except,748
748,sleep,747
749,structure,746
750,material,745
751,compare,743
752,weigh,740
753,offensive,740
754,overt,739
755,shoot,739
756,ticket,738
757,desire,737
758,formal,736
759,strange,735
760,belief,735
761,inside,734
762,threaten,733
763,model,732
764,chose,732
765,travel,731
766,spire,726
767,march,723
768,drama,722
769,suspend,721
770,bound,721
771,chief,720
772,freedom,719
773,consistent,718
774,credit,718
775,healthy,714
776,powerful,713
777,unique,713
778,middle,712
779,crisis,709
780,decline,708
781,highlight,708
782,blame,708
783,constant,706
784,contain,706
785,lawsuit,704
786,reduce,704
787,ignore,700
788,haven,698
789,concept,694
790,greater,693
792,suicide,693
791,river,693
793,regular,692
794,compute,691
795,guideline,690
798,dialogue,689
799,complex,689
800,pension,689
797,happy,689
796,although,689
801,eventual,688
802,conflict,687
803,stereo,686
804,sight,686
805,advocacy,686
806,dying,683
807,essential,682
808,daughter,682
809,stood,680
811,extend,678
810,frequent,678
812,award,677
813,trend,677
814,construct,676
815,submit,675
816,accusation,674
817,locate,671
818,affair,670
819,expert,669
820,ridge,669
821,natural,668
822,intention,666
823,forum,665
824,background,665
825,theme,664
826,profit,664
827,guard,663
828,suspension,663
829,stern,662
830,county,659
833,privilege,657
832,oppose,657
831,prepare,657
834,historic,656
835,scrap,653
836,empower,652
837,secret,651
838,youth,651
839,council,651
840,drunk,649
841,elope,648
842,therapy,647
843,spare,646
844,thousand,645
845,scandal,642
846,advance,641
847,sensual,641
848,excite,641
849,tuition,640
850,diction,640
851,print,637
852,paint,636
854,strength,635
853,vantage,635
855,league,631
856,conservative,630
858,penal,628
857,birth,628
859,proud,626
860,graphic,624
861,illegal,623
862,trick,622
863,false,620
864,proceed,620
866,straight,619
865,bathroom,619
867,whatever,618
868,advantage,617
869,sanction,617
870,clinic,615
871,marriage,613
872,beautiful,613
873,conscious,613
875,honest,612
874,launch,612
876,damage,611
877,margin,607
878,stalk,605
879,modern,604
880,stein,603
881,amend,603
882,fourth,601
883,sustain,600
884,prohibit,599
885,forge,597
886,ethic,595
887,migrant,594
888,tenure,592
889,technology,592
890,violate,592
891,indicate,591
892,sister,590
893,apply,590
895,thank,588
896,chard,588
894,arrive,588
898,engine,587
897,energy,587
899,impress,586
900,shame,585
901,absolute,585
902,double,585
903,grape,584
904,anonymous,583
905,deliver,582
908,basis,579
906,variety,579
907,trouble,579
909,marijuana,578
910,dream,576
911,scrape,576
912,skill,575
913,presidential,575
914,inspire,574
915,function,572
916,property,569
918,religious,568
917,novel,568
919,grand,566
920,familiar,566
921,clean,566
922,draft,565
923,animal,565
924,solid,565
925,battle,562
926,scour,561
927,hundred,561
929,afternoon,559
928,balance,559
930,price,558
931,dollar,557
932,inappropriate,557
933,workplace,556
934,roommate,555
935,frame,554
936,eject,553
941,estimate,552
940,stuff,552
939,cancer,552
938,utter,552
937,method,552
942,worse,551
943,dependent,550
944,victor,550
945,raisin,549
946,spokesperson,548
947,imagine,546
948,prompt,546
949,oppress,546
952,ongoing,545
950,stall,545
951,engineer,545
953,transit,543
954,pandemic,542
955,attitude,540
956,fashion,539
957,grade,539
962,advise,538
961,vehicle,538
960,scholar,538
959,caught,538
958,adopt,538
963,winter,537
964,stream,534
965,editorial,534
966,plant,534
967,forget,533
968,portray,533
969,capita,532
970,gotten,531
973,attract,530
974,label,530
971,quote,530
972,trace,530
975,psychology,529
976,district,527
977,window,527
978,religion,527
979,arrow,525
980,tough,525
982,mandate,524
981,talent,524
983,queer,523
984,famous,522
985,invite,520
986,severe,519
990,pursue,518
991,exhibit,518
992,sorority,518
989,taught,518
988,participant,518
987,achieve,518
993,dedicate,517
994,posse,517
995,intervention,516
996,cream,515
997,hopeful,515
998,context,515
999,stick,514
1000,brand,513
1001,freshmen,513
1003,instruct,511
1002,judicial,511
1004,felon,510
1005,theft,510
1006,accomplish,509
1007,consume,508
1008,worry,508
1009,tempo,508
1010,coverage,506
1011,please,505
1012,television,505
1014,capital,504
1013,catch,504
1015,transport,502
1016,slate,501
1017,confront,500
1018,guest,500
1019,possess,499
1020,tension,499
1021,element,498
1022,reject,498
1023,brain,498
1024,referred,497
1025,reign,496
1026,appearance,495
1027,lecture,495
1028,escape,494
1029,decrease,493
1030,mandatory,492
1031,broken,492
1032,controversial,492
1033,peace,491
1034,primary,491
1035,equate,490
1036,marginal,489
1037,disciplinary,488
1038,privacy,487
1039,husband,487
1040,champ,486
1041,client,486
1042,curate,486
1043,inclusive,485
1044,otherwise,484
1045,shown,484
1046,affirm,484
1047,expectation,483
1048,diverse,482
1050,assume,482
1049,examine,482
1051,church,481
1052,fault,481
1053,worst,481
1054,prefer,480
1055,explicit,478
1056,weight,478
1057,faith,476
1060,alley,474
1061,controversy,474
1058,afraid,474
1059,apparent,474
1062,endorse,472
1063,edict,472
1064,immigrant,470
1065,cycle,470
1066,relevant,470
1067,obtain,467
1069,transition,465
1068,entertain,465
1070,confidential,464
1071,celebrate,462
1072,bystander,462
1073,ideal,461
1074,truck,461
1075,reputation,460
1076,feminism,460
1077,internal,459
1078,condemn,459
1079,sphere,457
1080,interpret,456
1081,explore,455
1082,troll,455
1083,spark,455
1084,expression,454
1085,champion,452
1086,strain,452
1087,disturb,451
1088,spirit,450
1090,accurate,449
1089,patio,449
1092,demonstrate,448
1093,income,448
1094,depict,448
1095,therapeutic,448
1091,feedback,448
1096,tense,447
1097,innocent,447
1098,comedy,447
1099,admitted,446
1102,twice,444
1100,teenage,444
1101,numerous,444
1103,network,443
1104,circumstance,443
1105,testimony,442
1106,counselor,442
1107,stigma,442
1108,inability,441
1109,occasion,441
1111,vulnerable,439
1110,unanimous,439
1112,taste,438
1113,ranch,438
1114,assign,438
1115,abusive,437
1116,settle,437
1117,brief,437
1118,exploit,437
1119,global,437
1120,weapon,436
1121,trafficking,435
1122,terse,434
1123,brutal,434
1124,failure,433
1125,interim,433
1126,appreciate,432
1127,transfer,432
1128,green,431
1129,slight,431
1131,independent,430
1130,upset,430
1132,resist,429
1133,adequate,428
1134,pilot,427
1135,valid,427
1136,craft,426
1137,chase,426
1138,length,424
1142,prosecutor,422
1141,operate,422
1140,expel,422
1139,classic,422
1143,custom,421
1144,mouth,421
1145,lyric,420
1146,burglar,419
1147,built,419
1148,alumni,418
1149,stole,418
1150,excuse,418
1151,region,418
1153,detect,417
1152,stone,417
1154,virus,415
1155,edible,414
1156,biology,413
1157,problematic,413
1158,strip,413
1159,nationwide,412
1160,pound,412
1161,heavy,412
1162,victory,411
1163,foster,411
1165,exception,410
1164,scare,410
1166,burden,409
1167,sensitive,409
1168,clothe,408
1169,respondent,408
1170,symbol,408
1171,funny,407
1172,workshop,406
1173,inclusion,406
1176,compete,405
1174,yesterday,405
1175,penalty,405
1178,advisor,403
1179,shape,403
1177,dozen,403
1180,proof,402
1181,quiet,402
1182,glass,401
1183,compass,400
1185,fruit,399
1186,restaurant,399
1184,careful,399
1187,impossible,398
1188,aside,398
1189,surface,398
1190,liberal,398
1191,advice,397
1192,commission,397
1193,soldier,396
1194,billion,396
1197,strike,395
1196,intimate,395
1195,expulsion,395
1201,vocal,393
1203,politician,393
1202,ahead,393
1198,central,393
1200,constitution,393
1199,slave,393
1204,convince,391
1205,classroom,389
1206,credible,388
1207,century,387
1208,approximate,387
1209,terror,387
1210,approval,386
1211,belong,385
1212,surge,385
1213,cancel,384
1214,description,384
1215,drape,383
1216,equip,382
1217,monitor,381
1218,comprehensive,380
1219,memory,379
1221,delay,378
1220,secure,378
1223,union,376
1222,tournament,376
1224,regret,375
1225,assess,375
1226,programming,375
1227,accessible,375
1228,scent,374
1230,horror,373
1229,pattern,373
1231,phrase,371
1232,evolution,371
1233,install,371
1234,behalf,371
1235,angle,370
1236,transform,370
1238,somebody,369
1239,expose,369
1237,waste,369
1240,permanent,368
1241,homosexual,367
1242,timid,366
1243,experiment,365
1244,drawn,365
1245,plead,365
1246,verbal,364
1247,everybody,364
1251,temporary,363
1252,shelter,363
1249,consumption,363
1250,quaint,363
1248,uncle,363
1253,chant,362
1254,notion,362
1255,consult,362
1256,examination,361
1257,agenda,361
1258,corporate,361
1259,documentary,361
1260,spoken,360
1261,intersect,358
1263,ponder,358
1264,sweet,358
1265,silent,358
1262,addict,358
1266,apple,357
1267,fundamental,356
1268,grown,356
1269,barrier,356
1270,allot,356
1273,sudden,355
1274,affiliate,355
1271,predict,355
1272,robbery,355
1275,warrant,354
1276,guess,354
1277,eliminate,354
1278,foreign,353
1279,conclude,353
1280,colleague,353
1282,blind,352
1281,downtown,352
1283,discipline,351
1286,newspaper,350
1284,submitted,350
1285,string,350
1287,south,349
1288,forth,348
1289,tight,348
1290,attendee,348
1294,neither,347
1296,permit,347
1295,sufficient,347
1292,infect,347
1291,profile,347
1293,breath,347
1297,sweat,346
1298,guarantee,346
1299,arson,345
1300,ethnic,342
1301,grate,342
1304,distinct,341
1305,passionate,341
1303,combine,341
1302,narrow,341
1306,visible,340
1307,tackle,339
1308,possession,338
1309,artisan,338
1310,scream,338
1311,capture,338
1312,conclusion,337
1313,intoxicate,337
1316,anxiety,336
1317,finger,336
1314,contest,336
1315,communicate,336
1318,competition,335
1319,border,335
1320,pitch,335
1321,fifth,335
1322,acquaint,334
1325,exchange,333
1324,brace,333
1323,patrol,333
1327,expelled,332
1326,excel,332
1328,chest,331
1329,depression,331
1330,witch,331
1331,governor,331
1332,virtual,331
1333,dramatic,329
1335,aggressive,328
1336,complicate,328
1334,destroy,328
1337,literal,327
1338,pledge,327
1339,intense,326
1340,atmosphere,326
1341,partisan,325
1344,foundation,324
1345,perceive,324
1343,visual,324
1342,bully,324
1346,vital,323
1347,scale,323
1348,latter,322
1349,pride,322
1350,concert,321
1351,perception,319
1352,opponent,319
1353,merit,319
1355,trail,318
1354,dominate,318
1356,helpful,317
1357,driven,317
1358,legislature,316
1359,crucial,316
1360,smart,316
1361,headline,314
1362,cheer,313
1363,sought,313
1366,felony,312
1367,journey,312
1364,speed,312
1365,plenty,312
1369,armful,311
1368,injustice,311
1370,acquaintance,310
1372,input,310
1371,stretch,310
1373,pornography,309
1374,romantic,309
1375,inherent,309
1376,crack,309
1377,accident,307
1378,resignation,307
1379,prominent,307
1380,harmful,307
1383,principle,306
1382,spokesman,306
1381,stolen,306
1384,publication,305
1385,minimum,305
1386,guidance,304
1387,prospect,304
1388,wonderful,303
1389,opposition,303
1390,exercise,303
1393,traumatic,302
1392,venture,302
1391,costume,302
1395,beauty,301
1396,rival,301
1397,lesson,301
1398,prosecution,301
1394,sentiment,301
1399,provost,300
1400,bottom,300
1401,somehow,300
1403,rhetoric,299
1405,forgo,299
1402,proven,299
1404,ballot,299
1406,angry,298
1407,bright,298
1408,teammate,298
1409,widespread,298
1410,everywhere,298
1411,praise,298
1414,defensive,297
1415,mentor,297
1413,plate,297
1412,provision,297
1416,inmate,296
1417,harsh,296
1418,growth,296
1419,urban,294
1420,caution,294
1421,constitute,294
1424,occurring,293
1425,chosen,293
1423,regent,293
1422,coffee,293
1426,micro,292
1427,holiday,292
1428,villa,292
1429,thorough,292
1430,tragedy,291
1431,terrible,290
1432,proportion,290
1436,suggestion,289
1437,joint,289
1435,precedent,289
1434,embarrass,289
1433,assert,289
1439,injury,288
1440,refuge,288
1441,extensive,288
1438,oppression,288
1442,bridge,287
1443,defeat,287
1444,burglary,287
1449,somewhat,286
1451,worthy,286
1450,radio,286
1445,lacrosse,286
1448,north,286
1447,punch,286
1446,bedroom,286
1452,wealth,285
1453,stock,285
1456,assailant,284
1457,sable,284
1455,adapt,284
1454,progressive,284
1458,lobby,283
1459,smoke,283
1460,scope,283
1461,neutral,282
1462,weird,282
1463,succeed,282
1464,practical,282
1469,horse,281
1471,statute,281
1470,fulfill,281
1466,flash,281
1468,veteran,281
1467,habit,281
1465,motivate,281
1472,capacity,280
1473,chemist,280
1476,machine,279
1477,scientist,279
1478,generate,279
1475,evaluate,279
1474,defendant,279
1479,jurisdiction,278
1480,dynamic,278
1481,twist,278
1482,circle,278
1483,exclusive,277
1484,signature,277
1485,cinema,277
1486,cheap,277
1490,tactic,276
1491,incredible,276
1488,classmate,276
1489,partial,276
1487,magazine,276
1492,awful,275
1493,attribute,275
1494,strum,275
1495,equity,275
1496,library,275
1499,intervene,274
1498,meaningful,274
1497,therefore,274
1500,compel,273
1501,depth,273
1502,prostitution,272
1503,anywhere,272
1504,percentage,272
1505,casual,272
1511,crazy,271
1514,admission,271
1513,elder,271
1512,taint,271
1509,pensive,271
1510,nurse,271
1508,alive,271
1507,purchase,271
1506,genuine,271
1515,survive,270
1516,societal,270
1517,coalition,270
1519,battery,269
1518,substantial,269
1520,perpetuate,268
1521,anyway,267
1522,respectful,267
1523,trade,267
1524,finance,267
1525,genetic,266
1526,routine,266
1529,alarm,265
1530,pleasure,265
1528,opposite,265
1527,declare,265
1531,demean,264
1532,ridiculous,264
1533,debut,264
1534,concrete,264
1535,vagina,264
1536,evolve,263
1537,dominant,263
1541,economy,262
1542,abroad,262
1538,comic,262
1540,strengthen,262
1539,plaque,262
1543,expensive,261
1546,shoulder,261
1544,struck,261
1545,shout,261
1549,contrast,260
1550,assure,260
1547,analysis,260
1548,shall,260
1551,forgot,259
1552,expansion,259
1553,command,258
1554,airman,258
1555,storm,258
1556,everyday,257
1557,revenue,257
1558,juvenile,257
1559,panic,257
1560,embrace,257
1561,render,257
1565,genre,256
1567,category,256
1566,tonight,256
1564,route,256
1563,trait,256
1562,grievance,256
1568,comparison,255
1569,alongside,255
1570,cable,255
1571,insult,255
1576,height,254
1575,garner,254
1574,bullet,254
1573,binge,254
1572,committing,254
1577,closure,253
1578,commercial,253
1579,insurance,253
1586,protocol,252
1585,observe,252
1584,steal,252
1582,chemistry,252
1583,doctoral,252
1580,brook,252
1581,technique,252
1587,solidarity,251
1588,pregnant,251
1589,mainstream,251
1590,extent,251
1591,climb,250
1592,entry,250
1593,massive,250
1594,wrest,250
1595,alike,249
1596,conception,248
1597,medicine,248
1598,tragic,248
1599,donate,248
1600,nominee,248
1601,excess,248
1606,neglect,247
1605,patriarch,247
1604,median,247
1603,fiction,247
1602,legitimate,247
1607,linger,246
1608,fusion,246
1609,therapist,246
1610,persist,246
1611,stuck,245
1612,painful,245
1613,literature,245
1614,torture,245
1615,garden,245
1616,begun,245
1617,instrument,244
1618,transportation,244
1619,shake,244
1622,destruct,243
1623,prevalent,243
1621,earth,243
1620,divide,243
1624,incorrect,242
1627,external,242
1628,complainant,242
1625,facilitate,242
1626,chill,242
1629,boycott,241
1630,retain,241
1631,knock,240
1633,confess,240
1634,intellect,240
1635,refugee,240
1632,desperate,240
1636,studio,239
1637,apology,239
1641,midst,238
1645,insist,238
1644,abandon,238
1643,impressive,238
1642,convent,238
1639,contraception,238
1638,scary,238
1640,somewhere,238
1646,citation,237
1647,advertise,237
1648,unite,236
1649,scrutiny,236
1650,plane,236
1651,random,236
1654,lifetime,235
1655,hotel,235
1652,chick,235
1653,empty,235
1656,convention,234
1657,radical,234
1658,tremendous,234
1659,thrill,234
1660,cabin,234
1663,scientific,233
1664,stair,233
1662,absurd,233
1661,isolate,233
1665,ritual,232
1666,vague,232
1667,instructor,232
1668,horrible,232
1669,implementation,232
1670,drove,232
1675,align,231
1674,legacy,231
1673,personnel,231
1672,nearby,231
1671,component,231
1676,sociology,230
1677,administer,230
1678,bottle,230
1679,guitar,230
1680,angel,229
1681,brave,229
1685,poverty,228
1684,philosophy,228
1683,smile,228
1682,festival,228
1686,backlash,227
1687,contribution,227
1688,switch,226
1689,theory,226
1690,weather,226
1691,awkward,225
1692,compassion,225
1693,dusky,225
1696,shadow,224
1695,uphold,224
1694,divest,224
1697,sorry,223
1698,berate,223
1699,confuse,223
1700,corrupt,222
1701,heterosexual,222
1702,adjust,222
1703,referring,221
1704,confine,221
1705,cigar,221
1706,pathetic,220
1707,wound,219
1709,boost,219
1708,textbook,219
1710,electric,218
1712,emphasis,218
1713,excellent,218
1714,intellectual,218
1711,digit,218
1715,division,217
1716,bisexual,217
1717,alien,217
1718,agent,217
1719,clarify,216
1720,censor,216
1721,dental,216
1726,scenario,215
1729,rebel,215
1728,governance,215
1727,deputy,215
1723,sample,215
1725,western,215
1724,dispute,215
1722,channel,215
1730,actress,214
1731,chart,214
1732,chain,214
1733,magic,214
1737,confirmation,213
1738,removal,213
