,created_at,public_metrics,possibly_sensitive,conversation_id,reply_settings,source,author_id,lang,entities,text,id,referenced_tweets,attachments,context_annotations,geo,in_reply_to_user_id
20,2021-08-17T15:43:54.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 1}",False,1427657444466040836,everyone,TweetDeck,798631780056203264,en,"{'urls': [{'start': 91, 'end': 114, 'url': 'https://t.co/sP2Usrce10', 'expanded_url': 'https://ktvz.com/cnn-regional/2021/08/15/uw-madison-rethinks-sexual-assault-services-bringing-forensic-nurses-on-campus/', 'display_url': 'ktvz.com/cnn-regional/2…'}], 'annotations': [{'start': 32, 'end': 41, 'probability': 0.6317, 'type': 'Organization', 'normalized_text': 'UW-Madison'}]}","Check out the new resources for UW-Madison students that have experienced sexual assault:

https://t.co/sP2Usrce10",1427657444466040836,,,,,
21,2021-08-16T22:23:44.000Z,"{'retweet_count': 7, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",False,1427395680918806531,everyone,Twitter for iPhone,238656915,en,"{'mentions': [{'start': 3, 'end': 15, 'username': 'UWMadisonLS', 'id': '26746958'}, {'start': 29, 'end': 44, 'username': 'TheJusticeDept', 'id': '73181712'}, {'start': 62, 'end': 70, 'username': 'UWPsych', 'id': '1676121164'}], 'annotations': [{'start': 81, 'end': 90, 'probability': 0.9943, 'type': 'Person', 'normalized_text': 'Kate Walsh'}]}","RT @UWMadisonLS: Thanks to a @TheJusticeDept grant secured by @UWPsych professor Kate Walsh, students who suffer a sexual assault will be a…",1427395680918806531,"[{'type': 'retweeted', 'id': '1427389792204038144'}]",,"[{'domain': {'id': '10', 'name': 'Person', 'description': 'Named people in the world like Nelson Mandela'}, 'entity': {'id': '1011243994288832512', 'name': 'Kate Walsh', 'description': 'Kate Walsh'}}, {'domain': {'id': '56', 'name': 'Actor', 'description': 'An actor or actress in the world, like Kate Winslet or Leonardo DiCaprio'}, 'entity': {'id': '1011243994288832512', 'name': 'Kate Walsh', 'description': 'Kate Walsh'}}]",,
22,2021-08-16T22:03:11.000Z,"{'retweet_count': 7, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",False,1427390508888903681,everyone,Twitter for iPhone,15763818,en,"{'mentions': [{'start': 3, 'end': 15, 'username': 'UWMadisonLS', 'id': '26746958'}, {'start': 29, 'end': 44, 'username': 'TheJusticeDept', 'id': '73181712'}, {'start': 62, 'end': 70, 'username': 'UWPsych', 'id': '1676121164'}], 'annotations': [{'start': 81, 'end': 90, 'probability': 0.9943, 'type': 'Person', 'normalized_text': 'Kate Walsh'}]}","RT @UWMadisonLS: Thanks to a @TheJusticeDept grant secured by @UWPsych professor Kate Walsh, students who suffer a sexual assault will be a…",1427390508888903681,"[{'type': 'retweeted', 'id': '1427389792204038144'}]",,"[{'domain': {'id': '10', 'name': 'Person', 'description': 'Named people in the world like Nelson Mandela'}, 'entity': {'id': '1011243994288832512', 'name': 'Kate Walsh', 'description': 'Kate Walsh'}}, {'domain': {'id': '56', 'name': 'Actor', 'description': 'An actor or actress in the world, like Kate Winslet or Leonardo DiCaprio'}, 'entity': {'id': '1011243994288832512', 'name': 'Kate Walsh', 'description': 'Kate Walsh'}}]",,
23,2021-08-16T22:00:20.000Z,"{'retweet_count': 7, 'reply_count': 1, 'like_count': 39, 'quote_count': 0}",False,1427389792204038144,everyone,TweetDeck,26746958,en,"{'urls': [{'start': 226, 'end': 249, 'url': 'https://t.co/FHcqAb4Y2d', 'expanded_url': 'https://bit.ly/3yRSTz2', 'display_url': 'bit.ly/3yRSTz2'}, {'start': 262, 'end': 285, 'url': 'https://t.co/P2p8KcZ3sP', 'expanded_url': 'https://twitter.com/UWMadisonLS/status/1427389792204038144/photo/1', 'display_url': 'pic.twitter.com/P2p8KcZ3sP'}], 'mentions': [{'start': 12, 'end': 27, 'username': 'TheJusticeDept', 'id': '73181712'}, {'start': 45, 'end': 53, 'username': 'UWPsych', 'id': '1676121164'}, {'start': 209, 'end': 224, 'username': 'WiStateJournal', 'id': '15752446'}, {'start': 250, 'end': 261, 'username': 'UHSMadison', 'id': '35457209'}], 'annotations': [{'start': 64, 'end': 73, 'probability': 0.9933, 'type': 'Person', 'normalized_text': 'Kate Walsh'}]}","Thanks to a @TheJusticeDept grant secured by @UWPsych professor Kate Walsh, students who suffer a sexual assault will be able to visit a nurse examiner on campus and receive help from a victim's advocate. Via @WiStateJournal: https://t.co/FHcqAb4Y2d @UHSMadison https://t.co/P2p8KcZ3sP",1427389792204038144,,{'media_keys': ['3_1427389741851365383']},"[{'domain': {'id': '10', 'name': 'Person', 'description': 'Named people in the world like Nelson Mandela'}, 'entity': {'id': '1011243994288832512', 'name': 'Kate Walsh', 'description': 'Kate Walsh'}}, {'domain': {'id': '56', 'name': 'Actor', 'description': 'An actor or actress in the world, like Kate Winslet or Leonardo DiCaprio'}, 'entity': {'id': '1011243994288832512', 'name': 'Kate Walsh', 'description': 'Kate Walsh'}}]",,
24,2021-08-16T19:25:40.000Z,"{'retweet_count': 1, 'reply_count': 0, 'like_count': 3, 'quote_count': 0}",False,1427350870019219457,everyone,Twitter for iPhone,26397750,en,"{'urls': [{'start': 101, 'end': 124, 'url': 'https://t.co/QYUjicpAdi', 'expanded_url': 'http://madison.com', 'display_url': 'madison.com', 'images': [{'url': 'https://pbs.twimg.com/news_img/1509166112688287745/FxSJAq9t?format=jpg&name=orig', 'width': 600, 'height': 315}, {'url': 'https://pbs.twimg.com/news_img/1509166112688287745/FxSJAq9t?format=jpg&name=150x150', 'width': 150, 'height': 150}], 'status': 200, 'title': 'madison.com', 'description': 'Read the latest Madison, and Dane County news. Get breaking news, events and information on Wisconsin sports, weather, entertainment, lifestyles and more.', 'unwound_url': 'https://madison.com/'}, {'start': 125, 'end': 148, 'url': 'https://t.co/whjHJsJTip', 'expanded_url': 'https://madison.com/wsj/news/local/education/university/uw-madison-rethinks-sexual-assault-services-bringing-forensic-nurses-on-campus/article_5060a496-88f2-5bc3-a0b8-463fab59b93e.html', 'display_url': 'madison.com/wsj/news/local…'}], 'mentions': [{'start': 153, 'end': 169, 'username': 'KellyMeyerhofer', 'id': '930336259'}], 'annotations': [{'start': 0, 'end': 9, 'probability': 0.6018, 'type': 'Organization', 'normalized_text': 'UW-Madison'}]}","UW-Madison rethinks sexual assault services, bringing forensic nurses on campus | Higher education | https://t.co/QYUjicpAdi https://t.co/whjHJsJTip via @KellyMeyerhofer",1427350870019219457,,,,{'place_id': '18ec9eacecff7e26'},
25,2021-08-16T16:16:38.000Z,"{'retweet_count': 3, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",False,1427303295471734787,everyone,Twitter for iPhone,1283122373634469893,en,"{'mentions': [{'start': 3, 'end': 11, 'username': 'UWPsych', 'id': '1676121164'}, {'start': 115, 'end': 123, 'username': 'UWPsych', 'id': '1676121164'}, {'start': 126, 'end': 138, 'username': 'kate_walsh6', 'id': '1304591586936881152'}]}","RT @UWPsych: UW-Madison rethinks sexual assault services, bringing forensic nurses on campus, with leadership from @UWPsych’s @kate_walsh6…",1427303295471734787,"[{'type': 'retweeted', 'id': '1427259071766347776'}]",,,,
26,2021-08-16T13:20:54.000Z,"{'retweet_count': 3, 'reply_count': 0, 'like_count': 20, 'quote_count': 2}",False,1427259071766347776,everyone,Twitter for iPhone,1676121164,en,"{'urls': [{'start': 243, 'end': 266, 'url': 'https://t.co/kSII2mpjCF', 'expanded_url': 'https://bit.ly/2VXB3wd', 'display_url': 'bit.ly/2VXB3wd'}], 'mentions': [{'start': 102, 'end': 110, 'username': 'UWPsych', 'id': '1676121164'}, {'start': 113, 'end': 125, 'username': 'kate_walsh6', 'id': '1304591586936881152'}], 'annotations': [{'start': 0, 'end': 9, 'probability': 0.6102, 'type': 'Organization', 'normalized_text': 'UW-Madison'}, {'start': 160, 'end': 167, 'probability': 0.6384, 'type': 'Organization', 'normalized_text': 'U.S. DOJ'}]}","UW-Madison rethinks sexual assault services, bringing forensic nurses on campus, with leadership from @UWPsych’s @kate_walsh6 who landed a $500k grant from the U.S. DOJ last year to expand post-assault medical and advocacy services on campus. https://t.co/kSII2mpjCF",1427259071766347776,,,,,
27,2021-08-16T12:09:15.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",False,1427241038863912963,everyone,Twitter Web App,930336259,en,"{'urls': [{'start': 212, 'end': 235, 'url': 'https://t.co/fiSqB4a3Qf', 'expanded_url': 'https://madison.com/wsj/news/local/education/university/uw-madison-rethinks-sexual-assault-services-bringing-forensic-nurses-on-campus/article_5060a496-88f2-5bc3-a0b8-463fab59b93e.html', 'display_url': 'madison.com/wsj/news/local…'}], 'mentions': [{'start': 26, 'end': 36, 'username': 'UWMadison', 'id': '15763818'}]}","New options/resources for @UWMadison students who experience sexual assault:
- forensic nurse can come to campus
- victim advocate present during exam
- another advocate helping post-exam to connect to resources
https://t.co/fiSqB4a3Qf",1427241038863912963,,,,,
28,2021-08-16T02:54:33.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",False,1427101447288729600,everyone,WordPress.com,1280062151898488832,en,"{'urls': [{'start': 80, 'end': 103, 'url': 'https://t.co/ONssbDZgO4', 'expanded_url': 'https://aajka-samachar.in/uw-madison-rethinks-sexual-assault-services-bringing-forensic-nurses-on-campus/', 'display_url': 'aajka-samachar.in/uw-madison-ret…'}], 'annotations': [{'start': 0, 'end': 9, 'probability': 0.6365, 'type': 'Organization', 'normalized_text': 'UW-Madison'}]}","UW-Madison rethinks sexual assault services, bringing forensic nurses on campus https://t.co/ONssbDZgO4",1427101447288729600,,,,,
29,2021-08-16T00:34:42.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",False,1427066252359516161,everyone,WordPress.com,1394986733851217921,en,"{'urls': [{'start': 88, 'end': 111, 'url': 'https://t.co/7cZc3Fj0Wk', 'expanded_url': 'https://tamilnaatunadapu.in/2021/08/16/uw-madison-rethinks-sexual-assault-services-bringing-forensic-nurses-on-campus-local/', 'display_url': 'tamilnaatunadapu.in/2021/08/16/uw-…'}], 'annotations': [{'start': 0, 'end': 9, 'probability': 0.6228, 'type': 'Organization', 'normalized_text': 'UW-Madison'}]}","UW-Madison rethinks sexual assault services, bringing forensic nurses on campus | Local https://t.co/7cZc3Fj0Wk",1427066252359516161,,,,,
