,date,average_tweets,average_articles,location,hl_tweets,hl_articles
739,1999-01-10,0.18181818181818182,0.0,UMN,14.660336831797627,2.7202107856964024
740,1999-01-11,0.09090909090909091,0.0,UMN,11.63648792876785,2.678453631107714
741,1999-01-12,0.0,0.0,UMN,9.236339715105741,2.5478239060704393
742,1999-01-13,0.0,0.0,UMN,7.331247353588139,2.4235650679005456
743,1999-01-14,0.0,0.0,UMN,5.819100359809334,2.305366404779069
744,1999-01-15,0.2727272727272727,0.0,UMN,4.61884961240055,2.4656596312085473
745,1999-01-16,0.09090909090909091,0.0,UMN,3.6661632250439022,2.4363170829182406
746,1999-01-17,0.36363636363636365,0.0,UMN,2.9099784406443856,2.6811328603219375
747,1999-01-18,0.36363636363636365,0.0,UMN,2.3097647336511415,2.9140088313703556
748,1999-01-19,0.09090909090909091,0.0,UMN,1.8333514263552986,2.862800034563511
749,1999-01-20,0.6363636363636364,0.0,UMN,1.4552033822102026,3.359543265702112
750,1999-01-21,0.36363636363636365,0.0,UMN,1.1550523555682057,3.559332770855431
751,1999-01-22,0.5454545454545454,0.0,UMN,0.916810639951457,3.9311966086818897
752,1999-01-23,0.6363636363636364,0.0,UMN,0.7277087878104979,4.375833524039269
753,1999-01-24,0.18181818181818182,0.0,UMN,0.5776111846658588,4.344239786600985
754,1999-01-25,0.2727272727272727,0.0,UMN,0.45847279329266327,4.405095984828833
755,1999-01-26,0.5454545454545454,0.0,UMN,0.36390795013980437,4.735711463973683
756,1999-01-27,0.36363636363636365,0.0,UMN,0.2888481020299483,4.868384454113483
757,1999-01-28,0.7272727272727273,0.0,UMN,0.22927013827054454,5.358223269807318
758,1999-01-29,0.5454545454545454,0.0,UMN,0.18198075712868825,5.6423541827396955
759,1999-01-30,0.6363636363636364,0.0,UMN,0.14444530899201413,6.003536958440312
760,1999-01-31,0.18181818181818182,0.0,UMN,0.11465194243061688,5.892559187764127
761,1999-02-01,0.0,1.9090909090909092,UMN,2.0000946806556894,5.605175685013266
762,1999-02-02,0.0,1.4545454545454546,UMN,3.042099538389031,5.331808041080565
763,1999-02-03,0.0,1.4545454545454546,UMN,3.869179917772425,5.071772694465346
764,1999-02-04,0.0,5.090909090909091,UMN,8.162029892836062,4.824419421354707
765,1999-02-05,0.0,4.454545454545454,UMN,10.933070703448832,4.589129709725304
766,1999-02-06,0.0,36.27272727272727,UMN,44.9507369750083,4.365315212741129
767,1999-02-07,0.0,21.272727272727273,UMN,56.951901237160975,4.152416277579957
768,1999-02-08,0.0,2.909090909090909,UMN,48.11406258676702,3.9499005460097787
769,1999-02-09,0.0,1.6363636363636365,UMN,39.826393982770306,3.7572616232159395
770,1999-02-10,0.2727272727272727,0.0,UMN,31.611780693993307,3.846745084277589
771,1999-02-11,0.45454545454545453,0.0,UMN,25.091517928473447,4.113682567263775
772,1999-02-12,0.7272727272727273,0.0,UMN,19.916128042560263,4.640328628309667
773,1999-02-13,0.2727272727272727,0.0,UMN,15.808216837991267,4.686744403328466
774,1999-02-14,0.36363636363636365,0.0,UMN,12.547605591956518,4.821805545196441
775,1999-02-15,0.45454545454545453,0.0,UMN,9.959529762580406,5.041188768357015
776,1999-02-16,0.8181818181818182,0.0,UMN,7.905271835712681,5.613508909105531
777,1999-02-17,0.45454545454545453,0.0,UMN,6.274726245742024,5.7942803035835375
778,1999-02-18,0.36363636363636365,0.0,UMN,4.9804978598125995,5.875326282209955
779,1999-02-19,0.45454545454545453,0.0,UMN,3.9532177118373224,6.0433286927259475
780,1999-02-20,0.7272727272727273,0.0,UMN,3.13782491571482,6.47586480172308
781,1999-02-21,0.18181818181818182,0.0,UMN,2.490615473111565,6.341851330305659
