,lang,conversation_id,entities,created_at,id,reply_settings,public_metrics,author_id,possibly_sensitive,referenced_tweets,geo,text,source,in_reply_to_user_id,context_annotations,attachments
69,en,1435270600600260617,"{'mentions': [{'start': 0, 'end': 8, 'username': 'JLB5293', 'id': '1297606701546377219'}, {'start': 9, 'end': 18, 'username': 'Stowydad', 'id': '16380351'}]}",2021-09-07T17:34:13.000Z,1435295352454713351,everyone,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 2, 'quote_count': 0}",38460713,False,"[{'type': 'replied_to', 'id': '1435281682152706051'}]",{'place_id': '60e2c37980197297'},@JLB5293 @Stowydad Because more rape will bring justice? This is awful.,Twitter for Android,1297606701546377219,,
70,en,1433303981523091456,"{'annotations': [{'start': 17, 'end': 30, 'probability': 0.3122, 'type': 'Other', 'normalized_text': 'Hable con Ella'}], 'urls': [{'start': 248, 'end': 271, 'url': 'https://t.co/iqbPz4mtTD', 'expanded_url': 'https://amp.theguardian.com/film/2002/aug/23/1', 'display_url': 'amp.theguardian.com/film/2002/aug/…', 'status': 200, 'unwound_url': 'https://amp.theguardian.com/film/2002/aug/23/1'}], 'mentions': [{'start': 120, 'end': 135, 'username': 'PeterBradshaw1', 'id': '23613581'}]}",2021-09-02T05:41:13.000Z,1433303981523091456,everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",31591744,False,,{'place_id': '60e2c37980197297'},"I just rewatched Hable con Ella / Talk to Her and that movie does not age well as far as its treatment of rape victims. @PeterBradshaw1’s 2002 review points at the problems but then weirdly pivots away — I bet he would write it differently today.

https://t.co/iqbPz4mtTD",Twitter for iPhone,,,
71,en,1432792790103117831,"{'urls': [{'start': 22, 'end': 45, 'url': 'https://t.co/0zOZ5kXJTr', 'expanded_url': 'https://twitter.com/Wolfrum/status/1432758009185378313', 'display_url': 'twitter.com/Wolfrum/status…'}]}",2021-08-31T19:49:55.000Z,1432792790103117831,everyone,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 3, 'quote_count': 0}",139944920,False,"[{'type': 'quoted', 'id': '1432758009185378313'}]",{'place_id': '8e9665cec9370f0f'},Also his love of rape https://t.co/0zOZ5kXJTr,Twitter for Android,,,
72,en,1427421089202835456,,2021-08-17T00:04:42.000Z,1427421089202835456,everyone,"{'retweet_count': 1, 'reply_count': 2, 'like_count': 10, 'quote_count': 0}",153265593,False,,{'place_id': '60e2c37980197297'},It’s an extra exhausting time to be a survivor of rape or sexual assault rn,Twitter for iPhone,,,
73,en,1426567506735546371,"{'mentions': [{'start': 0, 'end': 11, 'username': 'J_Northrup', 'id': '94236954'}, {'start': 12, 'end': 22, 'username': 'froggmilf', 'id': '813267927172382720'}, {'start': 23, 'end': 33, 'username': 'ToneMcFly', 'id': '252359108'}, {'start': 34, 'end': 46, 'username': 'irishsiucra', 'id': '1190546169035923456'}, {'start': 47, 'end': 59, 'username': 'Ahh_Unknown', 'id': '308636825'}, {'start': 60, 'end': 74, 'username': 'ArielleDundas', 'id': '2244114907'}, {'start': 75, 'end': 84, 'username': 'delfvalb', 'id': '777270771777503232'}]}",2021-08-15T17:26:35.000Z,1426958512010240010,everyone,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",1286329064849113092,False,"[{'type': 'replied_to', 'id': '1426950537526845440'}]",{'place_id': '8e9665cec9370f0f'},@J_Northrup @froggmilf @ToneMcFly @irishsiucra @Ahh_Unknown @ArielleDundas @delfvalb Say you support rape culture without  saying you support rape culture,Twitter for iPhone,94236954,,
74,en,1426735632190038016,"{'mentions': [{'start': 0, 'end': 13, 'username': 'Like20Wizard', 'id': '815722194755911683'}, {'start': 14, 'end': 28, 'username': 'GraciousSquid', 'id': '2605309812'}, {'start': 29, 'end': 45, 'username': 'crypto_bitlord7', 'id': '1343224146658914304'}]}",2021-08-15T03:35:22.000Z,1426749327502938112,everyone,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",1130584080725282818,False,"[{'type': 'replied_to', 'id': '1426742144283275267'}]",{'place_id': '8e9665cec9370f0f'},@Like20Wizard @GraciousSquid @crypto_bitlord7 Rape culture,Twitter for iPhone,815722194755911683,,
75,en,1426617559445561344,"{'urls': [{'start': 75, 'end': 98, 'url': 'https://t.co/xXQ8mZvAGS', 'expanded_url': 'https://twitter.com/flute_picard/status/1426617014064386051', 'display_url': 'twitter.com/flute_picard/s…'}]}",2021-08-14T18:51:46.000Z,1426617559445561344,everyone,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 1, 'quote_count': 0}",401829868,False,,{'place_id': '60e2c37980197297'},“I used my burner to call you ugly after I defended rape all day” a choice https://t.co/xXQ8mZvAGS,Twitter for iPhone,,,
76,en,1425607510178861065,"{'mentions': [{'start': 0, 'end': 13, 'username': 'CISchoolDist', 'id': '898371513342185473'}]}",2021-08-13T12:50:05.000Z,1426164152377225223,everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2311171405,False,"[{'type': 'replied_to', 'id': '1425607510178861065'}]",{'place_id': '60e2c37980197297'},@CISchoolDist He’s drugged girls until unconscious and rape them,Twitter for iPhone,898371513342185473,,
77,en,1422592951922925570,"{'mentions': [{'start': 0, 'end': 15, 'username': 'coldnorthrants', 'id': '1186303655525441536'}, {'start': 16, 'end': 26, 'username': 'mnufcnews', 'id': '1371882746927271942'}]}",2021-08-03T17:24:09.000Z,1422609243908288513,everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",1315512224,False,"[{'type': 'replied_to', 'id': '1422607618221162500'}]",{'place_id': '8e9665cec9370f0f'},"@coldnorthrants @mnufcnews many times the visible symptoms are openly criticized rather the root problem causers.

the player vs the coach/gm/FO

the beggar vs the investment banker/politician/poverty

the rape victim vs rape culture

the local sports journalist vs anti-⚽ culture",Twitter for Android,1186303655525441536,,
78,en,1420601402301161475,"{'mentions': [{'start': 0, 'end': 12, 'username': 'austerehoon', 'id': '1386840815788445697'}, {'start': 13, 'end': 22, 'username': 'dead4ali', 'id': '2440906592'}]}",2021-07-29T17:39:43.000Z,1420801222081228807,everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2885168020,False,"[{'type': 'replied_to', 'id': '1420601402301161475'}]",{'place_id': '8e9665cec9370f0f'},@austerehoon @dead4ali 12. WTF?  Institutionalized rape,Twitter for Android,1386840815788445697,,
