,location,date,tweet_count,article_count
599,IUB,10/31/2021,0,0
600,IUB,09/28/2021,0,0
601,IUB,08/09/2021,0,0
602,IUB,05/01/2021,0,0
603,IUB,02/11/2021,0,0
604,IUB,12/19/2020,0,0
605,IUB,11/08/2020,0,0
606,IUB,11/04/2020,0,0
607,IUB,10/25/2020,0,0
608,IUB,09/29/2020,0,0
609,IUB,08/15/2020,0,0
610,IUB,08/02/2020,0,0
611,IUB,05/08/2020,0,0
612,IUB,04/27/2020,0,0
613,IUB,04/26/2020,0,0
614,IUB,04/25/2020,0,0
615,IUB,03/02/2020,0,0
616,IUB,02/26/2020,0,0
617,IUB,02/12/2020,0,0
618,IUB,12/06/2019,0,0
619,IUB,11/13/2019,0,0
620,IUB,10/24/2019,0,1
621,IUB,07/09/2019,0,0
622,IUB,06/29/2019,0,0
623,IUB,06/21/2019,0,0
624,IUB,06/13/2019,0,0
625,IUB,05/10/2019,0,0
626,IUB,04/23/2019,0,0
627,IUB,04/08/2019,0,0
628,IUB,03/22/2019,0,0
629,IUB,03/14/2019,0,0
630,IUB,02/18/2019,0,0
631,IUB,02/08/2019,0,0
632,IUB,02/06/2019,0,0
633,IUB,01/24/2019,0,0
634,IUB,01/18/2019,0,0
635,IUB,01/08/2019,0,0
636,IUB,01/03/2019,0,0
637,IUB,11/27/2018,0,0
638,IUB,11/16/2018,0,0
639,IUB,11/14/2018,0,2
640,IUB,10/18/2018,0,0
641,IUB,10/15/2018,0,1
642,IUB,10/10/2018,0,2
643,IUB,10/08/2018,0,0
644,IUB,10/06/2018,0,0
645,IUB,10/03/2018,0,0
646,IUB,10/01/2018,0,0
647,IUB,09/30/2018,0,0
648,IUB,09/25/2018,0,0
649,IUB,09/22/2018,0,0
650,IUB,09/03/2018,0,0
651,IUB,09/01/2018,0,0
652,IUB,08/20/2018,0,0
653,IUB,07/18/2018,0,0
654,IUB,07/13/2018,0,0
655,IUB,11/26/2021,0,0
656,IUB,10/23/2021,0,0
657,IUB,10/21/2021,0,2
658,IUB,10/04/2021,0,0
659,IUB,09/22/2021,0,0
660,IUB,09/18/2021,0,0
661,IUB,01/16/2021,0,0
662,IUB,11/15/2020,0,0
663,IUB,08/29/2021,0,0
664,IUB,05/31/2021,0,0
665,IUB,04/30/2021,0,0
666,IUB,04/26/2021,0,0
667,IUB,02/23/2021,0,0
668,IUB,12/13/2020,0,0
669,IUB,09/27/2020,0,0
670,IUB,09/21/2020,0,0
671,IUB,06/17/2020,0,0
672,IUB,05/29/2020,0,0
673,IUB,03/11/2020,0,0
674,IUB,01/30/2020,0,0
675,IUB,12/29/2019,0,0
676,IUB,12/07/2019,0,0
677,IUB,11/27/2019,0,0
678,IUB,11/21/2019,0,0
679,IUB,10/03/2019,0,0
680,IUB,07/29/2019,0,0
681,IUB,07/12/2019,0,0
682,IUB,05/24/2019,0,0
683,IUB,03/03/2019,0,0
684,IUB,02/21/2019,0,0
685,IUB,01/15/2019,0,0
686,IUB,11/30/2018,0,1
687,IUB,11/02/2018,0,0
688,IUB,10/31/2018,0,0
689,IUB,10/25/2018,0,1
690,IUB,10/12/2018,0,1
691,IUB,08/16/2018,0,0
692,IUB,07/31/2018,0,0
693,IUB,07/25/2018,0,0
694,IUB,07/12/2018,0,0
695,IUB,06/01/2018,0,0
696,IUB,04/28/2018,0,0
697,IUB,04/20/2018,0,0
698,IUB,04/06/2018,0,0
699,IUB,04/01/2018,0,0
700,IUB,03/28/2018,0,0
701,IUB,03/14/2018,0,0
702,IUB,02/28/2018,0,0
703,IUB,01/23/2018,0,0
704,IUB,01/03/2018,0,0
705,IUB,12/14/2017,0,0
706,IUB,12/07/2017,0,0
707,IUB,12/03/2017,0,0
708,IUB,11/22/2017,0,0
709,IUB,11/13/2017,0,0
710,IUB,11/04/2017,0,0
711,IUB,10/29/2017,0,3
712,IUB,10/25/2017,0,0
713,IUB,10/24/2017,0,0
714,IUB,10/11/2017,0,3
715,IUB,10/10/2017,0,0
716,IUB,10/09/2017,0,0
717,IUB,09/28/2017,0,0
718,IUB,09/27/2017,0,0
719,IUB,09/14/2017,0,0
720,IUB,08/25/2017,0,0
721,IUB,08/23/2017,0,0
722,IUB,07/04/2017,0,0
723,IUB,07/03/2017,0,0
724,IUB,07/02/2017,0,0
725,IUB,07/01/2017,0,0
726,IUB,06/22/2017,0,0
727,IUB,06/09/2017,0,0
728,IUB,06/06/2017,0,0
729,IUB,05/23/2017,0,0
730,IUB,05/13/2017,0,0
731,IUB,05/10/2017,0,0
732,IUB,04/20/2017,0,0
733,IUB,04/19/2017,0,0
734,IUB,04/13/2017,0,0
735,IUB,11/30/2021,0,3
736,IUB,04/15/2021,0,0
